                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4254,                 2.0882,                 1.3274,                0.89277,                0.95765,                0.95096,                0.63093,                  1.205,                0.88704,                 1.1078,              0.0033242,              0.0033242,              0.0033242
                      2,                0.78059,                0.70135,                 0.9551,                0.84474,                0.86827,                0.86305,                0.58236,                 1.1141,                0.87024,                 1.1201,              0.0066246,              0.0066246,              0.0066246
                      3,                0.73243,                0.55524,                0.93673,                0.57069,                0.51948,                0.44207,                0.18047,                 2.4632,                 1.7494,                 2.2963,              0.0098919,              0.0098919,              0.0098919
                      4,                0.67025,                0.49097,                 0.9163,                0.84665,                0.74773,                0.87753,                0.54011,                 1.4976,                 1.3726,                 1.3721,              0.0098515,              0.0098515,              0.0098515
                      5,                0.55566,                0.41622,                0.88066,                0.44906,                0.40074,                0.45469,                0.30919,                 1.8639,                 3.7624,                 1.7512,               0.009802,               0.009802,               0.009802
                      6,                0.49829,                0.38183,                0.86496,                0.85017,                0.80007,                0.83303,                0.29275,                 2.3028,                 1.1595,                 1.9059,              0.0097525,              0.0097525,              0.0097525
                      7,                 0.4566,                0.35837,                0.85559,                0.77251,                 0.2115,                0.45173,                0.14903,                 2.7635,                 3.1751,                 2.9781,               0.009703,               0.009703,               0.009703
                      8,                0.43477,                0.34823,                0.85033,                      1,                0.99572,                  0.995,                 0.8808,                0.48588,                0.33717,                0.80673,              0.0096535,              0.0096535,              0.0096535
                      9,                0.41207,                0.33333,                0.84411,                0.99968,                      1,                  0.995,                0.93782,                0.34199,                0.23734,                0.77888,               0.009604,               0.009604,               0.009604
                     10,                0.38965,                0.32191,                0.83856,                0.98301,                 0.9833,                 0.9848,                0.86723,                0.52785,                 0.3288,                0.87021,              0.0095545,              0.0095545,              0.0095545
                     11,                0.37782,                0.31308,                  0.836,                0.99988,                      1,                  0.995,                0.95583,                0.31845,                0.18831,                0.76931,               0.009505,               0.009505,               0.009505
                     12,                 0.3614,                0.30596,                0.83421,                0.99989,                      1,                  0.995,                0.97421,                0.27114,                0.18072,                0.76038,              0.0094555,              0.0094555,              0.0094555
                     13,                0.34903,                0.29579,                0.83008,                0.99981,                      1,                  0.995,                0.96757,                0.27586,                0.17664,                0.76885,               0.009406,               0.009406,               0.009406
                     14,                0.34654,                0.29324,                0.83068,                0.99989,                      1,                  0.995,                0.96582,                0.29453,                0.18137,                0.76447,              0.0093565,              0.0093565,              0.0093565
                     15,                0.33602,                0.28647,                0.82951,                0.99989,                      1,                  0.995,                0.97212,                0.26049,                0.16702,                0.76195,               0.009307,               0.009307,               0.009307
                     16,                0.32725,                0.28109,                0.82501,                0.99989,                      1,                  0.995,                0.97304,                0.23593,                0.15795,                0.75839,              0.0092575,              0.0092575,              0.0092575
                     17,                0.32268,                0.28113,                 0.8251,                0.99989,                      1,                  0.995,                0.98593,                0.19349,                0.13974,                0.75453,               0.009208,               0.009208,               0.009208
                     18,                0.31417,                0.27365,                0.82463,                0.99989,                      1,                  0.995,                0.97589,                0.24484,                0.14893,                0.75559,              0.0091585,              0.0091585,              0.0091585
                     19,                0.31464,                0.27212,                0.82309,                0.99989,                      1,                  0.995,                0.98421,                0.18562,                0.14232,                0.75061,               0.009109,               0.009109,               0.009109
